ID,Name,Average Viewers,Average Channels,Rank,Hours Watched
7948,Resident Evil: Dead Aim,115,1,3672,803
8020,Bomberman Land Touch!,2,1,22688,1
8026,The Longest Journey,7,1,5231,303
8031,Arcana,43,1,4708,447
8043,USA East,1,1,24309,1
8055,Sneaky Snakes,671,1,8310,112
8057,Dragon Ball Z: Budokai Tenkaichi 2,4,1,4526,312
8066,Gold Rush!,1,1,23364,1
8068,Condemned: Criminal Origins,3,1,6617,138
8070,OverBlood 2,7,1,15627,13
8074,Turtle Odyssey,0,1,25554,0
8075,Pokémon Pinball: Ruby & Sapphire,11,1,6235,196
8076,Suikoden,7,1,4171,478
8100,Robot Arena: Design & Destroy,1,1,21727,1
8105,South Park,717,5,244,120528
8110,Need for Speed: Carbon,19,2,2255,1925
8115,Kingpin: Life of Crime,62,1,6145,237
8218,Stock Market: The Game,1,1,16200,3
8239,Delicious Deluxe,12,1,19294,6
8245,Tom and Jerry in Fists of Furry,26,1,10953,48
8271,Mad Max,33,7,1253,5570
8284,Gungrave,2,1,15919,6
8352,Bomberman Tournament,54,1,13342,27
8398,Vegas Stakes,1,1,17962,3
8424,Destroy All Humans! 2,2,1,14642,9
8484,Neocron 2: Beyond Dome of York,1,1,24094,1
8511,Dark and Light,2,1,8928,53
8523,Advent Rising,1,1,17269,4
8529,NCAA Football 2003,0,1,25555,0
8586,Touch Detective,9,1,6050,203
8606,Henry,5,1,23266,2
8645,Resident Evil 2,524,54,263,88203
8652,Audiosurf,2,1,8765,45
8658,Tiny Toon Adventures: Buster Busts Loose!,12,1,9444,67
8672,Peter Jackson's King Kong: The Official Game of the Movie,11,1,4674,385
8727,Transport Tycoon,0,1,26768,0
8734,Sonic Heroes,42,3,1279,6600
8762,Headache,14,1,13153,25
8788,Super Bonk,1,1,20935,2
8821,Toy Story Racer,1,1,20657,1
8828,Home Sweet Home,29,2,2026,2671
8833,LEGO Star Wars II: The Original Trilogy,0,1,19713,1
8855,Need for Speed: Underground 2,14,3,1929,2343
8876,NiGHTS into dreams...,3,1,7726,89
8882,Pinball,82,4,910,12793
8902,Wipeout,23,1,5986,241
8909,Tiny Toon Adventures: Buster's Hidden Treasure,1,1,17857,4
8916,Fish Tycoon,3,1,17858,6
8965,B-Boy,2,1,17859,4
9001,Natsume Championship Wrestling,1,1,24098,1
9022,Top Gear Rally,2,1,25557,0
9043,Devil Summoner: Soul Hackers,4,1,5518,196
9049,NBA Street Vol. 2,11,1,3504,755
9072,Cruis'n USA,65,1,6365,216
9097,Parkan II,6,1,12577,27
9112,NCAA March Madness 06,1,1,23367,1
9159,Alisia Dragoon,26,1,15020,18
9178,Halo 3,8,2,2755,1099
9216,PaRappa the Rapper 2,2,1,8248,54
9249,Spider-Man and the X-Men in Arcade's Revenge,374,1,2913,1371
9287,Pokémon Ruby/Sapphire,19,2,2060,2387
9294,EcoQuest: The Search for Cetus,9,1,20265,5
9320,It's a Funny Old Game,0,1,26770,0
9333,Twisted Metal 4,9,1,10196,52
9345,Shoot 'em up Construction Kit,1,1,24099,0
9359,The Sims Castaway Stories,12,1,14571,18
9392,Tetris DS,2,1,19931,3
9411,Dragon Quest Heroes: Rocket Slime,16,1,4924,366
9424,Mind Games,1,1,11401,15
9488,WWE SmackDown! vs. Raw 2006,3,1,8042,79
9554,T'ai Fu: Wrath of the Tiger,55,1,10530,55
9593,The Exchange Student: Episode 1 - First Day in Sweden,1,1,25938,0
9618,Pokémon Trading Card Game,1128,31,177,189767
9645,NBA Hangtime,402,1,2138,2616
9684,Carmageddon II: Carpocalypse Now,25,1,11088,45
9698,Tomb Raider: The Last Revelation,11,1,3315,876
9704,X-Men: Children of the Atom,2,1,21484,2
9748,The Incredible Hulk,5,1,17178,9
9813,Isis,13,1,13068,26
9826,The Jetsons: Cogswell's Caper,9,1,20267,4
9833,Star Wars Arcade,2,1,22007,1
9891,Silent Hill 2,141,4,690,21825
9891,Silent Hill 2,212,3,543,34232
9893,Vendetta Online,0,1,26902,0
9899,Arx Fatalis,37,1,2261,2286
9900,Beetle Adventure Racing!,3,1,17195,8
9979,Disney's Winnie the Pooh's Rumbly Tumbly Adventure,2,1,16810,7
9994,Knights and Merchants: The Peasants Rebellion,2,1,16567,6
10002,Penguin-kun Wars,0,1,26903,0
10016,Racing Lagoon,6,1,6009,213
10017,Freddi Fish 4: The Case of the Hogfish Rustlers of Briny Gulch,8,1,13897,20
10019,Beneath a Steel Sky,4,1,10172,42
10023,Hot Wheels: Stunt Track Challenge,5,1,20977,3
10028,Argentum Online,29,2,1872,3197
10030,Hattrick!,13,1,13898,22
10031,Loom,1,1,17278,4
10049,Dokapon,1,1,21969,1
10071,Castlevania: Dracula X,4,1,8716,64
10078,Avalon Hill's Squad Leader,1,1,17749,4
10119,Hitman: Blood Money,5,1,4529,387
10142,Turok,2,1,10109,33
10156,Jurassic Park: Operation Genesis,1,1,22523,1
10163,The Death and Return of Superman,2,1,15806,9
10183,Geometry Wars: Retro Evolved,2,1,18097,4
10218,Earthworm Jim,1,1,16357,4
10238,Michelin Rally Masters: Race of Champions,9,1,11494,39
10266,Tekken 3,6,1,7091,140
10288,Adventure Island II,8,1,14546,17
10294,Runaway 2: The Dream of the Turtle,5,1,18098,7
10308,Advanced Dungeons & Dragons: Eye of the Beholder,3,1,15240,12
10361,Mace Griffin: Bounty Hunter,1,1,23093,1
10446,Blood,7,1,5237,277
10460,TV and Cinema 101: Trivia from Talkies to Trekkies,1,1,4797,186
10499,Hagane: The Final Conflict,2,1,16233,6
10501,Need for Speed: Most Wanted 5-1-0,1,1,16358,2
10502,Dr. Robotnik's Mean Bean Machine,8,1,8324,98
10503,Enchanted Arms,1,1,11647,20
10505,Super Castlevania IV,39,2,1739,3759
10513,Checkers,6,1,12279,27
10548,AirForce Delta Storm,6,1,16234,12
10554,Windjammers,9,1,15734,14
10578,Discord Times,4,1,9875,42
10595,Armies of Exigo,0,1,22526,0
10636,Puyo Puyo Fever 2,0,1,26906,0
10694,Ready 2 Rumble Boxing: Round 2,1,1,26046,0
10712,Tak: The Great Juju Challenge,4,1,10692,35
10723,The Land Before Time,0,1,17003,2
10734,Joust,1,1,18548,3
10745,Tales of Rebirth,7,1,9719,59
10751,Phantasy Star Online Episode I & II Plus,4,1,10903,36
10794,Varia,2,1,14827,9
10824,Dance Dance Revolution 5thMIX,2,1,22774,1
10831,The Hitchhiker's Guide to the Galaxy,1,1,10989,16
10835,Ken Griffey Jr.'s Slugfest,3,1,23096,1
10847,Guilty Gear,20,1,7424,145
10872,SoulCalibur II,6,1,9939,49
10882,Mortal Kombat: Armageddon,5,1,7680,94
10903,Bloody Roar 2,5,1,9466,57
10937,Mega Man: Maverick Hunter X,10,1,6713,164
10948,Wizardry 8,14,1,7205,144
10982,Twinsen's Little Big Adventure Classic,4,1,21369,2
11034,Harvest Moon 64,11,1,6640,173
11035,Evil Zone,1,1,23373,1
11036,Wizardry: Crusaders of the Dark Savant,2,1,13080,14
11045,.hack//Mutation,5,1,11129,38
11065,Castlevania: Aria of Sorrow,13,1,3222,982
11153,Wasteland,1,1,26047,0
11172,Dark Age of Camelot,24,3,1723,3352
11183,NASCAR Thunder 2003,2,1,11975,19
11189,Code Name: Viper,1,1,24910,0
11201,Axelay,3,1,22090,2
11211,Power Shovel,10,1,20016,5
11253,Dungeon,10,1,9779,60
11259,Simon the Sorcerer,2,1,18100,4
11304,Fire Emblem: Mystery of the Emblem,7,1,6181,206
11310,Krusty's Fun House,6,1,17004,9
11316,Twisted Metal,7,1,7323,127
11329,Dragon Buster,43,1,3662,824
11345,Shadow Hearts: From the New World,4,1,6375,154
11350,Tom Clancy's Splinter Cell: Chaos Theory,8,1,4264,506
11367,Sid Meier's Alpha Centauri,2,1,13398,12
11371,Soldier Boyz,131,1,7920,131
11406,SoulCalibur,6,1,18101,7
11429,Donkey Kong Land III,45,1,7308,157
11456,Super Mario Strikers,6,1,5440,251
11478,RoboCop Versus the Terminator,1,1,26050,0
11484,WRC: FIA World Rally Championship,2,1,16568,7
11494,Super Spike V'Ball,0,1,25899,0
11500,Trains,1,1,24911,0
11510,Dual Hearts,6,1,8659,73
11527,Star Crusader,1,1,17614,4
11539,InuYasha: The Secret of the Cursed Mask,5,1,13399,21
11540,Tetris 2,1,1,18850,2
11571,WWE SmackDown vs. Raw 2008,2,1,16811,7
11584,Gift,1,1,14643,10
11585,Robots,5,1,5374,250
11588,Samurai Shodown III,2,1,16360,7
11589,Sphinx and the Cursed Mummy,3,1,9693,49
11608,Rumble Roses XX,3,1,7022,93
11644,Castlevania: Rondo of Blood,18,1,4464,483
11657,Where's Waldo? for the Windows Phone,1,1,23098,1
11738,Darkwatch,8,1,8187,94
11764,Spear of Destiny,4,1,15357,11
11769,Conflict: Vietnam,2,1,15538,7
11769,Conflict: Vietnam,2,1,15538,7
11786,Fantastic 4,44,1,5633,298
11797,Mario Tennis: Power Tour,6,1,12575,28
11806,Football Generation,62,1,5517,321
11848,Marvel Super Heroes,80,1,2937,1316
11853,Street Sports Basketball,14,1,15808,14
11858,Education Series: General Knowledge Builder,4,1,3466,588
11935,"Monsters, Inc.",13,1,17752,9
11939,TrackMania Sunrise,1,1,23100,1
11983,ESPN NFL 2K5,2,1,13007,15
11988,FINAL FANTASY VII,218,17,487,36619
11996,Fire Emblem: Thracia 776,5,1,4721,372
12056,King Colossus,18,1,10937,47
12065,Yakuza 2,15,1,6917,167
12086,Ty the Tasmanian Tiger,24,1,2695,1521
12110,Castlevania: Circle of the Moon,5,1,4866,330
12114,Vigilante 8,1,1,14828,10
12119,Kendo Rage,1,1,19756,3
12123,Monster Hunter,7,1,4598,377
12136,Champions of Norrath: Realms of EverQuest,6,1,7943,94
12141,Grim Fandango,20,2,5159,318
12150,Project Overkill,10,1,18854,7
12192,Barbie: Explorer,5,1,6366,153
12207,Luxor,3,1,12530,19
12232,Wii Sports,17,2,2513,1527
12275,NBA Live 2003,6,1,15174,13
12279,Redneck Rampage,6,1,10351,43
12288,Fun 'N Games,1,1,12531,16
12319,Hot Wheels Velocity X,5,1,14959,15
12337,WWE Raw 2,3,1,14340,14
12380,Major Mayhem,1,1,24145,1
12417,Bubble Bobble: Old & New,1,1,26054,0
12446,Mega Man X: Command Mission,3,1,8168,82
12450,Heavy Gear II,2,1,15540,8
12501,Press Your Luck,9,1,20348,4
12509,Giants: Citizen Kabuto,49,1,4195,607
12594,Wario Land II,12,1,6158,209
12602,Rise and Fall: Civilizations at War,2,1,13607,12
12606,TOCA Race Driver 3,4,1,20733,3
12629,SimCity 2000,5,1,13979,18
12643,Soldat,1,1,11083,17
12647,Total Football,1,1,17755,4
12665,Pepsiman,5,1,7178,127
12678,Jet Li: Rise to Honor,7,1,8346,86
12685,Football Manager,3,1,9387,44
12694,Terranigma,15,2,2629,1390
12699,JellyCar,3,2,20151,3
12703,Christian Matchups,0,1,16303,2
12720,Ultimate Fighting Championship,4,1,15597,11
12738,Sydney 2000,57,1,6209,236
12769,Bishoujo Senshi Sailor Moon S: Kondo ha Puzzle de Oshioki yo!!,7,1,24148,1
12774,.hack//Quarantine,7,2,8878,66
12801,System Shock,16,2,2880,1134
12830,Soul Blazer,15,1,3108,1069
12854,Capture the Flag,2,1,21375,2
12870,Mega Man 2,54,2,1365,6352
12874,Rygar: The Legendary Adventure,9,1,15241,15
12883,The Sims Bustin' Out,12,1,4405,484
12921,The Transformers,0,1,24559,0
12939,The Neverhood,59,1,3903,714
12985,Princess Crown,1,1,14341,8
13016,Zelda's Adventure,33,1,10617,56
13025,Panorama Cotton,0,1,21377,1
13107,Banjo-Pilot,1,1,17996,2
13137,Lizzie McGuire 3: Homecoming Havoc,606,1,4571,505
13149,Vectorman,4,1,13401,18
13182,Castlevania: Portrait of Ruin,23,1,3459,895
13186,Sled Storm,1,1,23384,1
13206,Silent Hill: Origins,14,2,3358,819
13210,SaGa Frontier,7,1,5810,240
13240,Crazy Chicken: Heart of Tibet,1,1,18975,4
13243,Super Mario Land 2: 6 Golden Coins,73,1,1858,3243
13248,Sonic CD,6,1,7128,125
13251,Pajama Sam 2: Thunder and Lightning Aren't so Frightening,1,1,10578,22
13253,"Warhammer 40,000: Chaos Gate",1,1,17807,3
13254,Flimbo's Quest,345,1,3606,806
13260,Super Star Wars,2,1,13735,11
13300,DRIV3R,11,1,8000,101
13319,Colin McRae Rally 04,1,1,18807,3
13342,Doom 3,6,2,2988,764
13354,Metal Gear Solid: Portable Ops,53,1,2558,1709
13366,VeggieTales: LarryBoy and the Bad Apple,21,1,15726,14
13383,Space Panic,0,1,26680,0
13389,Age of Empires II,2199,47,122,370241
13401,Daxter,1,1,13934,9
13425,White Day: A Labyrinth Named School,4,1,6798,121
13437,Zeliard,5,1,9139,65
13449,Scramble,0,1,26681,0
13510,Pilotwings,11,1,8720,80
13564,Far Cry,19,2,2017,2408
13606,Ace Combat 5: The Unsung War,3,1,7453,81
